dow,hour,len
3,19,10040
6,14,8196
6,12,6651
1,22,9146
7,10,5839
4,4,6483
4,9,5764
7,15,10197
2,5,5838
7,4,5958
4,3,7042
7,1,6773
6,1,6295
1,4,6160
3,1,7493
2,2,7618
5,12,7323
5,22,7804
5,13,9002
7,9,5699
2,9,5380
7,5,5679
4,17,11049
1,13,8648
3,7,5387
2,14,10277
1,21,10363
3,5,5447
5,23,7038
7,23,8133
6,10,4829
3,20,10111
6,5,4955
4,16,10897
1,8,5361
2,0,7884
7,7,5489
2,19,9676
1,6,5652
7,19,9411
3,17,12117
3,22,8121
2,8,5311
4,21,9409
7,3,6615
7,20,9733
2,4,6294
1,1,7800
5,2,7404
6,15,9015
2,1,7819
7,22,8156
4,1,7832
4,23,8344
3,4,5943
6,23,7031
4,6,5965
1,2,7602
6,22,7404
6,16,9222
7,12,7578
2,10,5742
5,7,4989
7,16,10154
2,23,8379
6,4,5118
6,8,4730
2,3,6801
4,12,8715
1,19,9864
7,2,6928
2,17,10738
7,21,9039
5,11,6348
5,21,8295
6,17,9260
6,19,8438
5,8,4936
6,18,8665
7,14,9644
3,2,7219
5,0,7695
4,18,10837
3,16,10362
4,10,6386
4,19,9963
3,21,9991
7,18,9646
5,18,8993
4,22,8958
1,16,10736
4,7,5882
1,7,5718
6,20,7995
5,20,8794
2,22,8297
6,0,6545
6,3,5561
1,20,10121
6,9,4716
1,9,5659
4,11,7549
3,3,6496
5,19,8771
4,14,10717
5,9,4957
7,17,10377
3,12,8252
1,18,10220
5,5,5743
6,6,4627
1,15,10498
1,3,6566
1,11,6828
4,13,9570
5,1,7435
5,3,6915
3,8,5348
2,7,5378
5,17,9391
3,15,10312
1,14,9628
3,0,7518
7,13,8343
5,4,6330
5,15,9692
6,2,6044
7,0,7213
2,21,9451
1,12,8064
3,18,10731
5,16,9330
6,7,4622
1,10,6220
2,12,7839
2,13,9171
5,14,9418
4,15,10852
4,2,7727
2,11,6851
4,8,5584
6,13,7535
2,18,9988
3,11,7116
7,11,6523
2,15,10288
4,0,8021
2,6,5593
3,6,5500
5,10,5568
1,5,5798
2,20,9814
6,11,5496
3,9,5607
4,5,6227
3,14,10298
1,23,8546
3,10,5981
2,16,10462
1,0,7797
3,13,9155
6,21,7845
7,8,5789
3,23,7996
4,20,10008
7,6,5565
1,17,10887
5,6,5650
